Date,Total Bugs Reported,Critical Bugs,High Severity Bugs,Medium Severity Bugs,Low Severity Bugs,Bugs Resolved,Bugs Pending
2024-01-01,46,2,6,21,11,15,41
2024-01-02,12,7,17,11,8,9,56
2024-01-03,32,3,16,24,7,38,26
2024-01-04,47,7,8,20,10,24,10
2024-01-05,34,6,13,20,11,17,53
2024-01-06,41,7,5,18,11,22,39
2024-01-07,33,6,15,14,9,29,22
2024-01-08,29,5,5,25,10,30,59
2024-01-09,40,5,14,12,9,16,47
2024-01-10,14,2,19,17,14,30,21
2024-01-11,19,6,11,21,10,23,51
2024-01-12,29,7,13,29,12,39,48
2024-01-13,33,4,14,19,7,19,45
2024-01-14,26,1,14,21,5,29,16
2024-01-15,21,4,11,27,8,28,55
2024-01-16,40,4,7,22,14,32,58
2024-01-17,15,5,7,21,11,25,14
2024-01-18,44,3,6,10,7,6,16
2024-01-19,38,5,17,18,12,39,49
2024-01-20,43,1,18,12,11,7,30
2024-01-21,49,9,10,16,10,22,50
2024-01-22,40,7,10,20,12,36,52
2024-01-23,46,3,13,23,10,15,18
2024-01-24,26,1,12,20,11,15,29
2024-01-25,15,5,19,17,10,22,45
2024-01-26,27,1,16,11,10,37,45
2024-01-27,44,9,18,19,13,22,47
2024-01-28,27,1,16,28,8,20,15
2024-01-29,37,8,13,21,5,38,17
2024-01-30,26,3,11,25,11,18,48
